product_id,product_name,brand_name,category_name,seller_name,price,rating,review_count,quantity_sold,discount_percent
179731375,Balo nữ da dầy thời trang unisex màu sắc tươi sáng TA63,OEM,Balo nữ,Thiên Ân Balo,14250.0,0.0,0,0,0.0
249221065,Ví da đựng thẻ ngân hàng (7 màu) - 9205,OEM,Root,SHOP THỜI TRANG 2N,10260.0,0.0,0,0,0.0
102862196," Balo nam nữ thời trang họa tiết bò sữa kiểu mới size mini, đôc đáo hàng chất lượng style kitishop",OEM,Root,Xưởng may balo Đà Nẵng,19999.0,0.0,0,0,0.0
115740385,Vải nhũ bóng simili chống thấm may túi ví balo giày dép,OEM,Root,BB Outlet,30000.0,0.0,0,0,0.0
102862375, Combo balo vừa a4 và túi tote thời trang kiểu mới giá siêu rẻ của KiTiShop,OEM,Root,Xưởng may balo Đà Nẵng,29000.0,0.0,0,0,0.0
106654322,Balo nam nữ vải bố bama thời trang,OEM,Root,Mavishop,22000.0,0.0,0,0,0.0
102862595, BALO VỊT siêu kute cho bé thời trang kiểu mới kèm ảnh thật có nnhieeuf màu cho bé lựa chọn,OEM,Root,Xưởng may balo Đà Nẵng,28900.0,0.0,0,0,0.0
173564878,BALO LOVE THỜI TRANG SEASON 1,OEM,Balo nữ,Thiên Ân Balo,25000.0,0.0,0,0,0.0
150254088,Chamr hoạt hình nhiều mẫu cute,OEM,Root,Baotrannailmi,29800.0,0.0,0,0,0.0
184451143,[MÓC KHÓA MẪU NGẪU NHIÊN] Móc Khóa dễ thương cute phụ kiện Balo Túi Ví trang trí xe máy ô tô sinh động Midori Studio,Midori,Balo nữ,MIDORI,22050.0,0.0,0,0,55.0
102862379, Balo Hoa cúc thời trang unisex custom kiểu mới chữ Peaceminusone,OEM,Root,Xưởng may balo Đà Nẵng,25000.0,0.0,0,1,0.0
102862525,Balo thời trang kiểu mới vừa a4,OEM,Root,Xưởng may balo Đà Nẵng,17999.0,0.0,0,0,0.0
102862187, BAlo gương trong thời trang kiểu mới vừa a4 cho nam và nữ stylekitishop,OEM,Root,Xưởng may balo Đà Nẵng,19999.0,0.0,0,0,0.0
86561895, Balo Mini    Balo nữ vải canvas BÒ SỮA dễ thương - B01,OEM,Root,Shalla,27104.0,0.0,0,1,15.384615
102862418, Balo họa tiết bò sữa thời trang cho nam và nữ kiểu mới vừa a4,OEM,Root,Xưởng may balo Đà Nẵng,19999.0,0.0,0,0,0.0
